001sb0lpx6v8seb1l4ugg0fmq,8134450,6018774,2000-01-01,"Mayle et al.",A,US,"cited by other",306
001scxic5pf6e2w9e3ghmhzt3,8429245,6023270,2000-02-01,"Brush, II et al.",A,US,"cited by applicant",30
001see6d2innwetztkadvfdoe,9350166,6166527,2000-12-01,"Dwelley et al.",A,US,"cited by applicant",23
001srab9ufy0mwpazl1lyzw70,8462579,6100735,2000-08-01,Lu,A,US,"cited by applicant",6
001tckxdwm6o3ggqv8eybeeag,6509094,6162893,2000-12-01,"Choi et al.",A,US,"cited by examiner",9
001tjnmnisazcdh7erzn1cnz9,8329499,6051852,2000-04-01,Stevens,A,US,"cited by examiner",15
001tlazv0aaplvwcsmpczoosa,6397351,6038569,2000-03-01,"Beavin et al.",A,US,"cited by examiner",12
001tn5r01mma701svl7rzw8wf,6907267,6078821,2000-06-01,"Kaschke et al.",A,US,"cited by examiner",2
001u849a4nrorum2dypu1ntnx,8231532,6091975,2000-07-01,"Daddona et al.",A,US,"cited by other",1000
001u9rnb1mtc43tp1sqdkdpir,D711056,D431697,2000-10-01,"Hayakawa et al.",S,US,"cited by examiner",6
001vbn7ulytzzhy2l0ep5k9t3,9635177,6021428,2000-02-01,Miloslavsky,A,US,"cited by applicant",434
001vo0ysl4s49xth0h3ajerqk,6589235,6053909,2000-04-01,Shadduck,A,US,"cited by examiner",6
001w5491k9daeiokae04node5,7099955,6115776,2000-09-01,"Reid et al.",A,US,"cited by other",31
001w6ygdumxu6h2otu1lr37qc,8210532,6129357,2000-10-01,Wichinsky,A,US,"cited by other",164
001w853o2zqm99f4c3ta7sc4c,8172417,6099134,2000-08-01,Taniguchi,A,US,"cited by other",38
001wjiv8gf8r8gxv4sedeaz02,RE42153,6112181,2000-08-01,"Shear et al.",A,US,"cited by examiner",71
001xdkhsbxu2gfrk19hbitbhg,8986780,6087196,2000-07-01,"Sturm et al.",A,US,"cited by applicant",27
001xfzj5qmisfq6a1dodwz297,8529501,6112923,2000-09-01,Ma,A,US,"cited by applicant",32
001z27j8no74yhx7zphpvb6du,9678194,6101391,2000-08-01,"Ishizuka et al.",A,US,"cited by applicant",5
001z4r6olvzcs0nwsk0j5bvpi,9643129,6083393,2000-07-01,"Wu et al.",A,US,"cited by applicant",85
001zarnq8q52fdjtf49ekobbd,8353622,6017349,2000-01-01,"Heller et al.",A,US,"cited by applicant",67
001zcumfl9mwkdaxnp5s66l3e,9675436,6117161,2000-09-01,"Li et al.",A,US,"cited by applicant",43
001zflacblfs43aeof8mwtmxd,9229917,6106570,2000-08-01,Mizuhara,A,US,"cited by applicant",270
001zr6zjkshv7dp3ox834ap08,9468733,6078730,2000-06-01,"Huddart et al.",A,US,"cited by examiner",9
001zthf8xuf201d7c2ixsczoe,8597069,6012957,2000-01-01,"Cyrus et al.",A,US,"cited by examiner",60
001zv4i6mww56azvn2naiuadw,8496687,6132465,2000-10-01,"Ray et al.",A,US,"cited by applicant",189
0020uon184w87swwcphprd820,8863868,6024376,2000-02-01,"Golichowski et al.",A,US,"cited by applicant",47
0020vx5x2kwgg92s4venskgwc,9303463,6039083,2000-03-01,Loper,A,US,"cited by examiner",0
00212rz7no63wtxtv5mxe7ykk,6929761,6021106,2000-02-01,"Welch et al.",A,US,"cited by other",24
002285l5uljlmho3k4hoad2np,8114299,6019229,2000-02-01,Rao,A,US,"cited by other",8
0023g6vvqyaz0xo47x8zwfrxa,7503011,6137686,2000-10-01,Saye,A,US,"cited by examiner",8
0023tjjcm0aps0kt0etue5bkq,8862202,6090144,2000-07-01,"Letot et al.",A,US,"cited by applicant",228
0023x7byc43huqpa5d0ekwl2w,D509011,D423129,2000-04-01,Nakagawa,S,US,"cited by examiner",7
0024i2qhkhdcgddbzyb5c6khm,6821818,6046076,2000-04-01,"Mitchell et al.",A,US,"cited by other",3
00251f3hjfqkfk3yeg7unaha4,7532030,6075745,2000-06-01,"Gould et al.",A,US,"cited by other",55
00255rkyic9n0cvz1o2eio4kr,7703015,6031989,2000-02-01,Cordell,A,US,"cited by examiner",8
0025vzamq2tym0ikg62rkve2h,7163463,6142884,2000-11-01,Yim,A,US,"cited by examiner",38
00267rkraz5vgeqiqsku0r7mg,7009384,6087827,2000-07-01,Oudet,A,US,"cited by other",17
00269urxqfjddfk1cytz7quv7,8846070,6165212,2000-12-01,"Dereume et al.",A,US,"cited by applicant",158
0026zixae93j5uov1u9q0adwn,9174873,6117226,2000-09-01,"Dial et al.",A,US,"cited by applicant",0
